,log_10_rew_prob,variable,value
0,-3.0,N_comm,4.0
1,-3.0,N_comm,4.0
2,-3.0,N_comm,4.0
3,-3.0,N_comm,4.0
4,-3.0,N_comm,4.0
5,-3.0,N_comm,4.0
6,-3.0,N_comm,4.0
7,-3.0,N_comm,4.0
8,-3.0,N_comm,4.0
9,-3.0,N_comm,4.0
10,-2.8066666666666666,N_comm,3.0
11,-2.8066666666666666,N_comm,3.0
12,-2.8066666666666666,N_comm,3.0
13,-2.8066666666666666,N_comm,3.0
14,-2.8066666666666666,N_comm,3.0
15,-2.8066666666666666,N_comm,3.0
16,-2.8066666666666666,N_comm,3.0
17,-2.8066666666666666,N_comm,3.0
18,-2.8066666666666666,N_comm,3.0
19,-2.8066666666666666,N_comm,3.0
20,-2.6133333333333333,N_comm,3.0
21,-2.6133333333333333,N_comm,3.0
22,-2.6133333333333333,N_comm,3.0
23,-2.6133333333333333,N_comm,3.0
24,-2.6133333333333333,N_comm,3.0
25,-2.6133333333333333,N_comm,3.0
26,-2.6133333333333333,N_comm,3.0
27,-2.6133333333333333,N_comm,3.0
28,-2.6133333333333333,N_comm,3.0
29,-2.6133333333333333,N_comm,3.0
30,-2.42,N_comm,3.0
31,-2.42,N_comm,3.0
32,-2.42,N_comm,3.0
33,-2.42,N_comm,3.0
34,-2.42,N_comm,3.0
35,-2.42,N_comm,3.0
36,-2.42,N_comm,3.0
37,-2.42,N_comm,3.0
38,-2.42,N_comm,3.0
39,-2.42,N_comm,3.0
40,-2.2266666666666666,N_comm,3.0
41,-2.2266666666666666,N_comm,3.0
42,-2.2266666666666666,N_comm,3.0
43,-2.2266666666666666,N_comm,3.0
44,-2.2266666666666666,N_comm,3.0
45,-2.2266666666666666,N_comm,3.0
46,-2.2266666666666666,N_comm,3.0
47,-2.2266666666666666,N_comm,3.0
48,-2.2266666666666666,N_comm,3.0
49,-2.2266666666666666,N_comm,3.0
50,-2.033333333333333,N_comm,4.0
51,-2.033333333333333,N_comm,4.0
52,-2.033333333333333,N_comm,4.0
53,-2.033333333333333,N_comm,4.0
54,-2.033333333333333,N_comm,4.0
55,-2.033333333333333,N_comm,4.0
56,-2.033333333333333,N_comm,4.0
57,-2.033333333333333,N_comm,4.0
58,-2.033333333333333,N_comm,4.0
59,-2.033333333333333,N_comm,4.0
60,-1.84,N_comm,4.0
61,-1.84,N_comm,4.0
62,-1.84,N_comm,4.0
63,-1.84,N_comm,4.0
64,-1.84,N_comm,4.0
65,-1.84,N_comm,4.0
66,-1.84,N_comm,4.0
67,-1.84,N_comm,4.0
68,-1.84,N_comm,4.0
69,-1.84,N_comm,4.0
70,-1.6466666666666667,N_comm,4.0
71,-1.6466666666666667,N_comm,4.0
72,-1.6466666666666667,N_comm,4.0
73,-1.6466666666666667,N_comm,4.0
74,-1.6466666666666667,N_comm,4.0
75,-1.6466666666666667,N_comm,4.0
76,-1.6466666666666667,N_comm,4.0
77,-1.6466666666666667,N_comm,4.0
78,-1.6466666666666667,N_comm,4.0
79,-1.6466666666666667,N_comm,4.0
80,-1.4533333333333334,N_comm,4.0
81,-1.4533333333333334,N_comm,4.0
82,-1.4533333333333334,N_comm,4.0
83,-1.4533333333333334,N_comm,4.0
84,-1.4533333333333334,N_comm,4.0
85,-1.4533333333333334,N_comm,4.0
86,-1.4533333333333334,N_comm,4.0
87,-1.4533333333333334,N_comm,4.0
88,-1.4533333333333334,N_comm,4.0
89,-1.4533333333333334,N_comm,4.0
90,-1.26,N_comm,5.0
91,-1.26,N_comm,5.0
92,-1.26,N_comm,5.0
93,-1.26,N_comm,5.0
94,-1.26,N_comm,5.0
95,-1.26,N_comm,5.0
96,-1.26,N_comm,5.0
97,-1.26,N_comm,5.0
98,-1.26,N_comm,5.0
99,-1.26,N_comm,5.0
100,-1.0666666666666667,N_comm,4.0
101,-1.0666666666666667,N_comm,4.0
102,-1.0666666666666667,N_comm,4.0
103,-1.0666666666666667,N_comm,4.0
104,-1.0666666666666667,N_comm,4.0
105,-1.0666666666666667,N_comm,4.0
106,-1.0666666666666667,N_comm,4.0
107,-1.0666666666666667,N_comm,4.0
108,-1.0666666666666667,N_comm,4.0
109,-1.0666666666666667,N_comm,4.0
110,-0.8733333333333335,N_comm,5.0
111,-0.8733333333333335,N_comm,5.0
112,-0.8733333333333335,N_comm,5.0
113,-0.8733333333333335,N_comm,5.0
114,-0.8733333333333335,N_comm,5.0
115,-0.8733333333333335,N_comm,5.0
116,-0.8733333333333335,N_comm,5.0
117,-0.8733333333333335,N_comm,5.0
118,-0.8733333333333335,N_comm,5.0
119,-0.8733333333333335,N_comm,5.0
120,-0.6800000000000002,N_comm,6.0
121,-0.6800000000000002,N_comm,6.0
122,-0.6800000000000002,N_comm,6.0
123,-0.6800000000000002,N_comm,6.0
124,-0.6800000000000002,N_comm,6.0
125,-0.6800000000000002,N_comm,6.0
126,-0.6800000000000002,N_comm,6.0
127,-0.6800000000000002,N_comm,6.0
128,-0.6800000000000002,N_comm,6.0
129,-0.6800000000000002,N_comm,6.0
130,-0.4866666666666668,N_comm,9.0
131,-0.4866666666666668,N_comm,9.0
132,-0.4866666666666668,N_comm,9.0
133,-0.4866666666666668,N_comm,9.0
134,-0.4866666666666668,N_comm,9.0
135,-0.4866666666666668,N_comm,9.0
136,-0.4866666666666668,N_comm,9.0
137,-0.4866666666666668,N_comm,9.0
138,-0.4866666666666668,N_comm,9.0
139,-0.4866666666666668,N_comm,9.0
140,-0.2933333333333335,N_comm,7.0
141,-0.2933333333333335,N_comm,7.0
142,-0.2933333333333335,N_comm,7.0
143,-0.2933333333333335,N_comm,7.0
144,-0.2933333333333335,N_comm,7.0
145,-0.2933333333333335,N_comm,7.0
146,-0.2933333333333335,N_comm,7.0
147,-0.2933333333333335,N_comm,7.0
148,-0.2933333333333335,N_comm,7.0
149,-0.2933333333333335,N_comm,7.0
150,-0.1,N_comm,8.0
151,-0.1,N_comm,8.0
152,-0.1,N_comm,8.0
153,-0.1,N_comm,8.0
154,-0.1,N_comm,8.0
155,-0.1,N_comm,8.0
156,-0.1,N_comm,8.0
157,-0.1,N_comm,8.0
158,-0.1,N_comm,8.0
159,-0.1,N_comm,8.0
160,-3.0,modul,0.6318039999954427
161,-3.0,modul,0.6318039999954427
162,-3.0,modul,0.6318039999954427
163,-3.0,modul,0.6318039999954427
164,-3.0,modul,0.6318039999954427
165,-3.0,modul,0.6318039999954427
166,-3.0,modul,0.6318039999954427
167,-3.0,modul,0.6318039999954427
168,-3.0,modul,0.6318039999954427
169,-3.0,modul,0.6318039999954427
170,-2.8066666666666666,modul,0.6408927799955959
171,-2.8066666666666666,modul,0.6408927799955959
172,-2.8066666666666666,modul,0.6408927799955959
173,-2.8066666666666666,modul,0.6408927799955959
174,-2.8066666666666666,modul,0.6408927799955959
175,-2.8066666666666666,modul,0.6408927799955959
176,-2.8066666666666666,modul,0.6408927799955959
177,-2.8066666666666666,modul,0.6408927799955959
178,-2.8066666666666666,modul,0.6408927799955959
179,-2.8066666666666666,modul,0.6408927799955959
180,-2.6133333333333333,modul,0.6329439199955087
181,-2.6133333333333333,modul,0.6329439199955087
182,-2.6133333333333333,modul,0.6329439199955087
183,-2.6133333333333333,modul,0.6329439199955087
184,-2.6133333333333333,modul,0.6329439199955087
185,-2.6133333333333333,modul,0.6329439199955087
186,-2.6133333333333333,modul,0.6329439199955087
187,-2.6133333333333333,modul,0.6329439199955087
188,-2.6133333333333333,modul,0.6329439199955087
189,-2.6133333333333333,modul,0.6329439199955087
190,-2.42,modul,0.6547939199954194
191,-2.42,modul,0.6547939199954194
192,-2.42,modul,0.6547939199954194
193,-2.42,modul,0.6547939199954194
194,-2.42,modul,0.6547939199954194
195,-2.42,modul,0.6547939199954194
196,-2.42,modul,0.6547939199954194
197,-2.42,modul,0.6547939199954194
198,-2.42,modul,0.6547939199954194
199,-2.42,modul,0.6547939199954194
200,-2.2266666666666666,modul,0.652583259995575
201,-2.2266666666666666,modul,0.652583259995575
202,-2.2266666666666666,modul,0.652583259995575
203,-2.2266666666666666,modul,0.652583259995575
204,-2.2266666666666666,modul,0.652583259995575
205,-2.2266666666666666,modul,0.652583259995575
206,-2.2266666666666666,modul,0.652583259995575
207,-2.2266666666666666,modul,0.652583259995575
208,-2.2266666666666666,modul,0.652583259995575
209,-2.2266666666666666,modul,0.652583259995575
210,-2.033333333333333,modul,0.6875488199967661
211,-2.033333333333333,modul,0.6875488199967661
212,-2.033333333333333,modul,0.6875488199967661
213,-2.033333333333333,modul,0.6875488199967661
214,-2.033333333333333,modul,0.6875488199967661
215,-2.033333333333333,modul,0.6875488199967661
216,-2.033333333333333,modul,0.6875488199967661
217,-2.033333333333333,modul,0.6875488199967661
218,-2.033333333333333,modul,0.6875488199967661
219,-2.033333333333333,modul,0.6875488199967661
220,-1.84,modul,0.6718272999963826
221,-1.84,modul,0.6718272999963826
222,-1.84,modul,0.6718272999963826
223,-1.84,modul,0.6718272999963826
224,-1.84,modul,0.6718272999963826
225,-1.84,modul,0.6718272999963826
226,-1.84,modul,0.6718272999963826
227,-1.84,modul,0.6718272999963826
228,-1.84,modul,0.6718272999963826
229,-1.84,modul,0.6718272999963826
230,-1.6466666666666667,modul,0.694905699997592
231,-1.6466666666666667,modul,0.694905699997592
232,-1.6466666666666667,modul,0.694905699997592
233,-1.6466666666666667,modul,0.694905699997592
234,-1.6466666666666667,modul,0.694905699997592
235,-1.6466666666666667,modul,0.694905699997592
