,log_10_rew_prob,variable,value
142,-0.2933333333333335,N_comm,9.0
143,-0.2933333333333335,N_comm,9.0
144,-0.2933333333333335,N_comm,9.0
145,-0.2933333333333335,N_comm,9.0
146,-0.2933333333333335,N_comm,9.0
147,-0.2933333333333335,N_comm,9.0
148,-0.2933333333333335,N_comm,9.0
149,-0.2933333333333335,N_comm,9.0
150,-0.1,N_comm,8.0
151,-0.1,N_comm,8.0
152,-0.1,N_comm,8.0
153,-0.1,N_comm,8.0
154,-0.1,N_comm,8.0
155,-0.1,N_comm,8.0
156,-0.1,N_comm,8.0
157,-0.1,N_comm,8.0
158,-0.1,N_comm,8.0
159,-0.1,N_comm,8.0
160,-3.0,modul,0.6333151799954031
161,-3.0,modul,0.6333151799954031
162,-3.0,modul,0.6333151799954031
163,-3.0,modul,0.6333151799954031
164,-3.0,modul,0.6333151799954031
165,-3.0,modul,0.6333151799954031
166,-3.0,modul,0.6333151799954031
167,-3.0,modul,0.6333151799954031
168,-3.0,modul,0.6333151799954031
169,-3.0,modul,0.6333151799954031
170,-2.8066666666666666,modul,0.6295863199953706
171,-2.8066666666666666,modul,0.6295863199953706
172,-2.8066666666666666,modul,0.6295863199953706
173,-2.8066666666666666,modul,0.6295863199953706
174,-2.8066666666666666,modul,0.6295863199953706
175,-2.8066666666666666,modul,0.6295863199953706
176,-2.8066666666666666,modul,0.6295863199953706
177,-2.8066666666666666,modul,0.6295863199953706
178,-2.8066666666666666,modul,0.6295863199953706
179,-2.8066666666666666,modul,0.6295863199953706
180,-2.6133333333333333,modul,0.640941139995625
181,-2.6133333333333333,modul,0.640941139995625
182,-2.6133333333333333,modul,0.640941139995625
183,-2.6133333333333333,modul,0.640941139995625
184,-2.6133333333333333,modul,0.640941139995625
185,-2.6133333333333333,modul,0.640941139995625
186,-2.6133333333333333,modul,0.640941139995625
187,-2.6133333333333333,modul,0.640941139995625
188,-2.6133333333333333,modul,0.640941139995625
189,-2.6133333333333333,modul,0.640941139995625
190,-2.42,modul,0.648124139995539
191,-2.42,modul,0.648124139995539
192,-2.42,modul,0.648124139995539
193,-2.42,modul,0.648124139995539
194,-2.42,modul,0.648124139995539
195,-2.42,modul,0.648124139995539
196,-2.42,modul,0.648124139995539
197,-2.42,modul,0.648124139995539
198,-2.42,modul,0.648124139995539
199,-2.42,modul,0.648124139995539
200,-2.2266666666666666,modul,0.6541846199956085
201,-2.2266666666666666,modul,0.6541846199956085
202,-2.2266666666666666,modul,0.6541846199956085
203,-2.2266666666666666,modul,0.6541846199956085
204,-2.2266666666666666,modul,0.6541846199956085
205,-2.2266666666666666,modul,0.6541846199956085
206,-2.2266666666666666,modul,0.6541846199956085
207,-2.2266666666666666,modul,0.6541846199956085
208,-2.2266666666666666,modul,0.6541846199956085
209,-2.2266666666666666,modul,0.6541846199956085
210,-2.033333333333333,modul,0.6487823799957474
211,-2.033333333333333,modul,0.6487823799957474
212,-2.033333333333333,modul,0.6487823799957474
213,-2.033333333333333,modul,0.6487823799957474
214,-2.033333333333333,modul,0.6487823799957474
215,-2.033333333333333,modul,0.6487823799957474
216,-2.033333333333333,modul,0.6487823799957474
217,-2.033333333333333,modul,0.6487823799957474
218,-2.033333333333333,modul,0.6487823799957474
219,-2.033333333333333,modul,0.6487823799957474
220,-1.84,modul,0.6585048999959738
221,-1.84,modul,0.6585048999959738
222,-1.84,modul,0.6585048999959738
223,-1.84,modul,0.6585048999959738
224,-1.84,modul,0.6585048999959738
225,-1.84,modul,0.6585048999959738
226,-1.84,modul,0.6585048999959738
227,-1.84,modul,0.6585048999959738
228,-1.84,modul,0.6585048999959738
229,-1.84,modul,0.6585048999959738
230,-1.6466666666666667,modul,0.6884966199972357
231,-1.6466666666666667,modul,0.6884966199972357
232,-1.6466666666666667,modul,0.6884966199972357
233,-1.6466666666666667,modul,0.6884966199972357
234,-1.6466666666666667,modul,0.6884966199972357
235,-1.6466666666666667,modul,0.6884966199972357
236,-1.6466666666666667,modul,0.6884966199972357
237,-1.6466666666666667,modul,0.6884966199972357
238,-1.6466666666666667,modul,0.6884966199972357
239,-1.6466666666666667,modul,0.6884966199972357
240,-1.4533333333333334,modul,0.6668946199974221
241,-1.4533333333333334,modul,0.6668946199974221
242,-1.4533333333333334,modul,0.6668946199974221
243,-1.4533333333333334,modul,0.6668946199974221
244,-1.4533333333333334,modul,0.6668946199974221
245,-1.4533333333333334,modul,0.6668946199974221
246,-1.4533333333333334,modul,0.6668946199974221
247,-1.4533333333333334,modul,0.6668946199974221
248,-1.4533333333333334,modul,0.6668946199974221
249,-1.4533333333333334,modul,0.6668946199974221
250,-1.26,modul,0.6772862999979915
251,-1.26,modul,0.6772862999979915
252,-1.26,modul,0.6772862999979915
253,-1.26,modul,0.6772862999979915
254,-1.26,modul,0.6772862999979915
255,-1.26,modul,0.6772862999979915
256,-1.26,modul,0.6772862999979915
257,-1.26,modul,0.6772862999979915
258,-1.26,modul,0.6772862999979915
259,-1.26,modul,0.6772862999979915
260,-1.0666666666666667,modul,0.6445661799986443
261,-1.0666666666666667,modul,0.6445661799986443
262,-1.0666666666666667,modul,0.6445661799986443
263,-1.0666666666666667,modul,0.6445661799986443
264,-1.0666666666666667,modul,0.6445661799986443
265,-1.0666666666666667,modul,0.6445661799986443
266,-1.0666666666666667,modul,0.6445661799986443
267,-1.0666666666666667,modul,0.6445661799986443
268,-1.0666666666666667,modul,0.6445661799986443
269,-1.0666666666666667,modul,0.6445661799986443
270,-0.8733333333333335,modul,0.6440724599992907
271,-0.8733333333333335,modul,0.6440724599992907
272,-0.8733333333333335,modul,0.6440724599992907
273,-0.8733333333333335,modul,0.6440724599992907
274,-0.8733333333333335,modul,0.6440724599992907
275,-0.8733333333333335,modul,0.6440724599992907
